"begdate","enddate","pressconf","scheduled","document","url"
1955-10-25,1955-10-25,0,1,"Record of Policy Actions (236 KB PDF)","/monetarypolicy/files/fomcropa19551025.pdf"
1955-11-16,1955-11-16,0,1,"Record of Policy Actions (130 KB PDF)","/monetarypolicy/files/fomcropa19551116.pdf"
1955-11-30,1955-11-30,0,0,"Record of Policy Actions (240 KB PDF)","/monetarypolicy/files/fomcropa19551130.pdf"
1955-12-08,1955-12-08,0,0,"Historical Minutes (297 KB PDF)","/monetarypolicy/files/FOMChistmin19551208.pdf"
1955-12-13,1955-12-13,0,1,"Record of Policy Actions (132 KB PDF)","/monetarypolicy/files/fomcropa19551213.pdf"
1956-01-10,1956-01-10,0,1,"Record of Policy Actions (202 KB PDF)","/monetarypolicy/files/fomcropa19560110.pdf"
1956-01-24,1956-01-24,0,1,"Record of Policy Actions (297 KB PDF)","/monetarypolicy/files/fomcropa19560124.pdf"
1956-02-15,1956-02-15,0,1,"Record of Policy Actions (202 KB PDF)","/monetarypolicy/files/fomcropa19560215.pdf"
1956-03-06,1956-03-06,0,1,"Record of Policy Actions (388 KB PDF)","/monetarypolicy/files/fomcropa19560306.pdf"
1956-03-27,1956-03-27,0,1,"Record of Policy Actions (294 KB PDF)","/monetarypolicy/files/fomcropa19560327.pdf"
1956-04-17,1956-04-17,0,1,"Record of Policy Actions (307 KB PDF)","/monetarypolicy/files/fomcropa19560417.pdf"
1956-04-18,1956-04-18,0,1,"Historical Minutes: see April 17, 1956 Minutes",NA
1956-05-09,1956-05-09,0,1,"Record of Policy Actions (208 KB PDF)","/monetarypolicy/files/fomcropa19560509.pdf"
1956-05-23,1956-05-23,0,1,"Record of Policy Actions (311 KB PDF)","/monetarypolicy/files/fomcropa19560523.pdf"
1956-06-05,1956-06-05,0,1,"Record of Policy Actions (306 KB PDF)","/monetarypolicy/files/fomcropa19560605.pdf"
1956-06-26,1956-06-26,0,1,"Record of Policy Actions (203 KB PDF)","/monetarypolicy/files/fomcropa19560626.pdf"
1956-07-17,1956-07-17,0,1,"Record of Policy Actions (304 KB PDF)","/monetarypolicy/files/fomcropa19560717.pdf"
1956-08-07,1956-08-07,0,1,"Record of Policy Actions (306 KB PDF)","/monetarypolicy/files/fomcropa19560807.pdf"
1956-08-21,1956-08-21,0,1,"Record of Policy Actions (205 KB PDF)","/monetarypolicy/files/fomcropa19560821.pdf"
1956-09-11,1956-09-11,0,1,"Record of Policy Actions (305 KB PDF)","/monetarypolicy/files/fomcropa19560911.pdf"
1956-09-25,1956-09-25,0,1,"Record of Policy Actions (310 KB PDF)","/monetarypolicy/files/fomcropa19560925.pdf"
1956-10-16,1956-10-16,0,1,"Record of Policy Actions (308 KB PDF)","/monetarypolicy/files/fomcropa19561016.pdf"
1956-11-13,1956-11-13,0,1,"Record of Policy Actions (206 KB PDF)","/monetarypolicy/files/fomcropa19561113.pdf"
1956-11-27,1956-11-27,0,1,"Record of Policy Actions (304 KB PDF)","/monetarypolicy/files/fomcropa19561127.pdf"
1956-12-10,1956-12-10,0,1,"Record of Policy Actions (312 KB PDF)","/monetarypolicy/files/fomcropa19561210.pdf"
1957-01-08,1957-01-08,0,1,"Record of Policy Actions (288 KB PDF)","/monetarypolicy/files/fomcropa19570108.pdf"
1957-01-28,1957-01-28,0,1,"Record of Policy Actions (279 KB PDF)","/monetarypolicy/files/fomcropa19570128.pdf"
1957-02-18,1957-02-18,0,1,"Record of Policy Actions (281 KB PDF)","/monetarypolicy/files/fomcropa19570218.pdf"
1957-03-05,1957-03-05,0,1,"Record of Policy Actions (284 KB PDF)","/monetarypolicy/files/fomcropa19570305.pdf"
1957-03-26,1957-03-26,0,1,"Record of Policy Actions (281 KB PDF)","/monetarypolicy/files/fomcropa19570326.pdf"
1957-04-16,1957-04-16,0,1,"Record of Policy Actions (182 KB PDF)","/monetarypolicy/files/fomcropa19570416.pdf"
1957-04-24,1957-04-24,0,0,"Historical Minutes (692 KB PDF)","/monetarypolicy/files/fomchistmin19570424.pdf"
1957-05-07,1957-05-07,0,1,"Record of Policy Actions (274 KB PDF)","/monetarypolicy/files/fomcropa19570507.pdf"
1957-05-28,1957-05-28,0,1,"Record of Policy Actions (178 KB PDF)","/monetarypolicy/files/fomcropa19570528.pdf"
1957-06-18,1957-06-18,0,1,"Record of Policy Actions (178 KB PDF)","/monetarypolicy/files/fomcropa19570618.pdf"
1957-07-09,1957-07-09,0,1,"Record of Policy Actions (280 KB PDF)","/monetarypolicy/files/fomcropa19570709.pdf"
1957-07-30,1957-07-30,0,1,"Record of Policy Actions (188 KB PDF)","/monetarypolicy/files/fomcropa19570730.pdf"
1957-08-20,1957-08-20,0,1,"Record of Policy Actions (176 KB PDF)","/monetarypolicy/files/fomcropa19570820.pdf"
1957-09-10,1957-09-10,0,1,"Record of Policy Actions (176 KB PDF)","/monetarypolicy/files/fomcropa19570910.pdf"
1957-10-01,1957-10-01,0,1,"Record of Policy Actions (277 KB PDF)","/monetarypolicy/files/fomcropa19571001.pdf"
1957-10-22,1957-10-22,0,1,"Record of Policy Actions (290 KB PDF)","/monetarypolicy/files/fomcropa19571022.pdf"
1957-11-12,1957-11-12,0,1,"Record of Policy Actions (295 KB PDF)","/monetarypolicy/files/fomcropa19571112.pdf"
1957-12-03,1957-12-03,0,1,"Record of Policy Actions (292 KB PDF)","/monetarypolicy/files/fomcropa19571203.pdf"
1957-12-17,1957-12-17,0,1,"Record of Policy Actions (282 KB PDF)","/monetarypolicy/files/fomcropa19571217.pdf"
1958-01-07,1958-01-07,0,1,"Record of Policy Actions (284 KB PDF)","/monetarypolicy/files/fomcropa19580107.pdf"
1958-01-28,1958-01-28,0,1,"Record of Policy Actions (187 KB PDF)","/monetarypolicy/files/fomcropa19580128.pdf"
1958-02-11,1958-02-11,0,1,"Record of Policy Actions (190 KB PDF)","/monetarypolicy/files/fomcropa19580211.pdf"
1958-03-04,1958-03-04,0,1,"Record of Policy Actions (385 KB PDF)","/monetarypolicy/files/fomcropa19580304.pdf"
1958-03-25,1958-03-25,0,1,"Record of Policy Actions (294 KB PDF)","/monetarypolicy/files/fomcropa19580325.pdf"
1958-04-15,1958-04-15,0,1,"Record of Policy Actions (293 KB PDF)","/monetarypolicy/files/fomcropa19580415.pdf"
1958-05-06,1958-05-06,0,1,"Record of Policy Actions (295 KB PDF)","/monetarypolicy/files/fomcropa19580506.pdf"
1958-05-27,1958-05-27,0,1,"Record of Policy Actions (293 KB PDF)","/monetarypolicy/files/fomcropa19580527.pdf"
1958-06-17,1958-06-17,0,1,"Record of Policy Actions (286 KB PDF)","/monetarypolicy/files/fomcropa19580617.pdf"
1958-07-08,1958-07-08,0,1,"Record of Policy Actions (186 KB PDF)","/monetarypolicy/files/fomcropa19580708.pdf"
1958-07-15,1958-07-15,0,0,"Historical Minutes (285 KB PDF)","/monetarypolicy/files/fomchistmin19580715.pdf"
